key,emo,version,name,status,uni,codepoints
baby_angel_medium_light_skin_tone,👼🏼,E1.0,baby angel: medium-light skin tone,fully-qualified,1f47c_1f3fc,1F47C 1F3FC
baby_angel_medium_skin_tone,👼🏽,E1.0,baby angel: medium skin tone,fully-qualified,1f47c_1f3fd,1F47C 1F3FD
baby_angel_medium_dark_skin_tone,👼🏾,E1.0,baby angel: medium-dark skin tone,fully-qualified,1f47c_1f3fe,1F47C 1F3FE
baby_angel_dark_skin_tone,👼🏿,E1.0,baby angel: dark skin tone,fully-qualified,1f47c_1f3ff,1F47C 1F3FF
santa_claus,🎅,E0.6,Santa Claus,fully-qualified,1f385,1F385
santa_claus_light_skin_tone,🎅🏻,E1.0,Santa Claus: light skin tone,fully-qualified,1f385_1f3fb,1F385 1F3FB
santa_claus_medium_light_skin_tone,🎅🏼,E1.0,Santa Claus: medium-light skin tone,fully-qualified,1f385_1f3fc,1F385 1F3FC
santa_claus_medium_skin_tone,🎅🏽,E1.0,Santa Claus: medium skin tone,fully-qualified,1f385_1f3fd,1F385 1F3FD
santa_claus_medium_dark_skin_tone,🎅🏾,E1.0,Santa Claus: medium-dark skin tone,fully-qualified,1f385_1f3fe,1F385 1F3FE
santa_claus_dark_skin_tone,🎅🏿,E1.0,Santa Claus: dark skin tone,fully-qualified,1f385_1f3ff,1F385 1F3FF
mrs_claus,🤶,E3.0,Mrs. Claus,fully-qualified,1f936,1F936
mrs_claus_light_skin_tone,🤶🏻,E3.0,Mrs. Claus: light skin tone,fully-qualified,1f936_1f3fb,1F936 1F3FB
mrs_claus_medium_light_skin_tone,🤶🏼,E3.0,Mrs. Claus: medium-light skin tone,fully-qualified,1f936_1f3fc,1F936 1F3FC
mrs_claus_medium_skin_tone,🤶🏽,E3.0,Mrs. Claus: medium skin tone,fully-qualified,1f936_1f3fd,1F936 1F3FD
mrs_claus_medium_dark_skin_tone,🤶🏾,E3.0,Mrs. Claus: medium-dark skin tone,fully-qualified,1f936_1f3fe,1F936 1F3FE
mrs_claus_dark_skin_tone,🤶🏿,E3.0,Mrs. Claus: dark skin tone,fully-qualified,1f936_1f3ff,1F936 1F3FF
mx_claus,🧑‍🎄,E13.0,Mx Claus,fully-qualified,1f9d1_200d_1f384,1F9D1 200D 1F384
mx_claus_light_skin_tone,🧑🏻‍🎄,E13.0,Mx Claus: light skin tone,fully-qualified,1f9d1_1f3fb_200d_1f384,1F9D1 1F3FB 200D 1F384
mx_claus_medium_light_skin_tone,🧑🏼‍🎄,E13.0,Mx Claus: medium-light skin tone,fully-qualified,1f9d1_1f3fc_200d_1f384,1F9D1 1F3FC 200D 1F384
mx_claus_medium_skin_tone,🧑🏽‍🎄,E13.0,Mx Claus: medium skin tone,fully-qualified,1f9d1_1f3fd_200d_1f384,1F9D1 1F3FD 200D 1F384
mx_claus_medium_dark_skin_tone,🧑🏾‍🎄,E13.0,Mx Claus: medium-dark skin tone,fully-qualified,1f9d1_1f3fe_200d_1f384,1F9D1 1F3FE 200D 1F384
mx_claus_dark_skin_tone,🧑🏿‍🎄,E13.0,Mx Claus: dark skin tone,fully-qualified,1f9d1_1f3ff_200d_1f384,1F9D1 1F3FF 200D 1F384
superhero,🦸,E11.0,superhero,fully-qualified,1f9b8,1F9B8
superhero_light_skin_tone,🦸🏻,E11.0,superhero: light skin tone,fully-qualified,1f9b8_1f3fb,1F9B8 1F3FB
superhero_medium_light_skin_tone,🦸🏼,E11.0,superhero: medium-light skin tone,fully-qualified,1f9b8_1f3fc,1F9B8 1F3FC
superhero_medium_skin_tone,🦸🏽,E11.0,superhero: medium skin tone,fully-qualified,1f9b8_1f3fd,1F9B8 1F3FD
superhero_medium_dark_skin_tone,🦸🏾,E11.0,superhero: medium-dark skin tone,fully-qualified,1f9b8_1f3fe,1F9B8 1F3FE
superhero_dark_skin_tone,🦸🏿,E11.0,superhero: dark skin tone,fully-qualified,1f9b8_1f3ff,1F9B8 1F3FF
man_superhero,🦸‍♂,E11.0,man superhero,minimally-qualified,1f9b8_200d_2642,1F9B8 200D 2642
man_superhero_light_skin_tone,🦸🏻‍♂,E11.0,man superhero: light skin tone,minimally-qualified,1f9b8_1f3fb_200d_2642,1F9B8 1F3FB 200D 2642
man_superhero_medium_light_skin_tone,🦸🏼‍♂,E11.0,man superhero: medium-light skin tone,minimally-qualified,1f9b8_1f3fc_200d_2642,1F9B8 1F3FC 200D 2642
man_superhero_medium_skin_tone,🦸🏽‍♂,E11.0,man superhero: medium skin tone,minimally-qualified,1f9b8_1f3fd_200d_2642,1F9B8 1F3FD 200D 2642
man_superhero_medium_dark_skin_tone,🦸🏾‍♂,E11.0,man superhero: medium-dark skin tone,minimally-qualified,1f9b8_1f3fe_200d_2642,1F9B8 1F3FE 200D 2642
man_superhero_dark_skin_tone,🦸🏿‍♂,E11.0,man superhero: dark skin tone,minimally-qualified,1f9b8_1f3ff_200d_2642,1F9B8 1F3FF 200D 2642
woman_superhero,🦸‍♀,E11.0,woman superhero,minimally-qualified,1f9b8_200d_2640,1F9B8 200D 2640
woman_superhero_light_skin_tone,🦸🏻‍♀,E11.0,woman superhero: light skin tone,minimally-qualified,1f9b8_1f3fb_200d_2640,1F9B8 1F3FB 200D 2640
woman_superhero_medium_light_skin_tone,🦸🏼‍♀,E11.0,woman superhero: medium-light skin tone,minimally-qualified,1f9b8_1f3fc_200d_2640,1F9B8 1F3FC 200D 2640
woman_superhero_medium_skin_tone,🦸🏽‍♀,E11.0,woman superhero: medium skin tone,minimally-qualified,1f9b8_1f3fd_200d_2640,1F9B8 1F3FD 200D 2640
woman_superhero_medium_dark_skin_tone,🦸🏾‍♀,E11.0,woman superhero: medium-dark skin tone,minimally-qualified,1f9b8_1f3fe_200d_2640,1F9B8 1F3FE 200D 2640
woman_superhero_dark_skin_tone,🦸🏿‍♀,E11.0,woman superhero: dark skin tone,minimally-qualified,1f9b8_1f3ff_200d_2640,1F9B8 1F3FF 200D 2640
supervillain,🦹,E11.0,supervillain,fully-qualified,1f9b9,1F9B9
supervillain_light_skin_tone,🦹🏻,E11.0,supervillain: light skin tone,fully-qualified,1f9b9_1f3fb,1F9B9 1F3FB
supervillain_medium_light_skin_tone,🦹🏼,E11.0,supervillain: medium-light skin tone,fully-qualified,1f9b9_1f3fc,1F9B9 1F3FC
supervillain_medium_skin_tone,🦹🏽,E11.0,supervillain: medium skin tone,fully-qualified,1f9b9_1f3fd,1F9B9 1F3FD
supervillain_medium_dark_skin_tone,🦹🏾,E11.0,supervillain: medium-dark skin tone,fully-qualified,1f9b9_1f3fe,1F9B9 1F3FE
supervillain_dark_skin_tone,🦹🏿,E11.0,supervillain: dark skin tone,fully-qualified,1f9b9_1f3ff,1F9B9 1F3FF
man_supervillain,🦹‍♂,E11.0,man supervillain,minimally-qualified,1f9b9_200d_2642,1F9B9 200D 2642
man_supervillain_light_skin_tone,🦹🏻‍♂,E11.0,man supervillain: light skin tone,minimally-qualified,1f9b9_1f3fb_200d_2642,1F9B9 1F3FB 200D 2642
man_supervillain_medium_light_skin_tone,🦹🏼‍♂,E11.0,man supervillain: medium-light skin tone,minimally-qualified,1f9b9_1f3fc_200d_2642,1F9B9 1F3FC 200D 2642
man_supervillain_medium_skin_tone,🦹🏽‍♂,E11.0,man supervillain: medium skin tone,minimally-qualified,1f9b9_1f3fd_200d_2642,1F9B9 1F3FD 200D 2642
man_supervillain_medium_dark_skin_tone,🦹🏾‍♂,E11.0,man supervillain: medium-dark skin tone,minimally-qualified,1f9b9_1f3fe_200d_2642,1F9B9 1F3FE 200D 2642
man_supervillain_dark_skin_tone,🦹🏿‍♂,E11.0,man supervillain: dark skin tone,minimally-qualified,1f9b9_1f3ff_200d_2642,1F9B9 1F3FF 200D 2642
woman_supervillain,🦹‍♀,E11.0,woman supervillain,minimally-qualified,1f9b9_200d_2640,1F9B9 200D 2640
woman_supervillain_light_skin_tone,🦹🏻‍♀,E11.0,woman supervillain: light skin tone,minimally-qualified,1f9b9_1f3fb_200d_2640,1F9B9 1F3FB 200D 2640
woman_supervillain_medium_light_skin_tone,🦹🏼‍♀,E11.0,woman supervillain: medium-light skin tone,minimally-qualified,1f9b9_1f3fc_200d_2640,1F9B9 1F3FC 200D 2640
woman_supervillain_medium_skin_tone,🦹🏽‍♀,E11.0,woman supervillain: medium skin tone,minimally-qualified,1f9b9_1f3fd_200d_2640,1F9B9 1F3FD 200D 2640
